2020-01-16 11:14:30.285 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.warsbull.blog.controller.InitTest], using SpringBootContextLoader
2020-01-16 11:14:30.303 - INFO  [main] springframework.test.context.support.AbstractContextLoader : Could not detect default resource locations for test class [com.warsbull.blog.controller.InitTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-16 11:14:30.303 - INFO  [main] springframework.test.context.support.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.warsbull.blog.controller.InitTest]: InitTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-16 11:14:30.444 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.warsbull.BlogApplication for test class com.warsbull.blog.controller.InitTest
2020-01-16 11:14:30.548 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-16 11:14:30.576 - INFO  [main] springframework.boot.test.context.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@40021799, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4a1c0752, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@332f25c8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1b32cd16, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4bdcaf36, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61d01788, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2b9b7f1f, org.springframework.test.context.event.EventPublishingTestExecutionListener@264c5d07, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@847f3e7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@69cac930, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@19593091, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5d39f2d8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6ad6fa53]
2020-01-16 11:14:31.024 - INFO  [main] com.warsbull.blog.controller.InitTest : Starting InitTest on DESKTOP-H8N7A1J with PID 13932 (started by T6094 in E:\Projects\blog\src\main\java)
2020-01-16 11:14:31.028 - INFO  [main] com.warsbull.blog.controller.InitTest : No active profile set, falling back to default profiles: default
2020-01-16 11:14:31.894 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-16 11:14:31.897 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-01-16 11:14:32.177 - INFO  [main] springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 271ms. Found 1 JPA repository interfaces.
